timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id,station,unit
2018-05-01 00:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 01:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 02:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 03:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 04:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 05:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 06:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 07:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 08:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 09:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 10:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 11:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 12:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 13:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 14:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 15:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 16:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 17:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 18:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 19:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 20:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 21:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 22:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-01 23:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 00:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 01:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 02:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 03:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 04:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 05:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 06:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 07:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 08:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 09:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 10:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 11:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 12:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 13:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 14:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 15:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 16:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 17:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
2018-05-02 18:00:00+00:00,0.0,0.0,0.0,1,0,0,334539,06342,mm
