timestamp,range,hampel,jump,frozen,missing,duplicate,conflicting_duplicate,subhourly_range,policy
2026-09-10 19:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-10 20:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-10 21:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-10 22:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-10 23:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 00:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 01:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 02:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 03:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 04:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 05:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 06:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 07:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 08:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 09:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 10:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 11:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 12:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 13:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 14:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 15:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 16:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 17:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 18:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 19:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 20:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 21:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 22:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-11 23:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 00:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 01:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 02:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 03:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 04:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 05:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 06:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 07:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 08:00:00+00:00,False,False,False,True,False,False,False,False,v1
2026-09-12 09:00:00+00:00,False,False,False,True,False,False,False,False,v1
