reference_time,target_time,kind,covariate_source,issued_at,model_id,code_version,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-08-01 10:00:00+00:00,2026-08-01 11:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,20.861456,21.136534,21.443262,21.631414,21.819569,22.126297,22.401375,23.716429,25.069593,26.58884,27.524153,28.459465,29.978714,31.331879,1014.59375,1015.20886,1015.905,1016.3354,1016.76575,1017.46185,1018.07697
2026-08-01 10:00:00+00:00,2026-08-01 12:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,20.844528,21.19758,21.583368,21.817497,22.051628,22.437414,22.790466,23.33082,25.233435,27.222355,28.401205,29.580053,31.568975,33.47159,1013.63,1014.40027,1015.2648,1015.7969,1016.32904,1017.19354,1017.96375
2026-08-01 10:00:00+00:00,2026-08-01 13:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,20.756458,21.185034,21.655352,21.94143,22.227507,22.697824,23.1264,22.589508,25.035664,27.492447,28.917435,30.342422,32.799206,35.24536,1012.5104,1013.5033,1014.6068,1015.28253,1015.95825,1017.0617,1018.0546
2026-08-01 10:00:00+00:00,2026-08-01 14:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,20.639034,21.147718,21.702356,22.03857,22.374784,22.92942,23.438107,22.019285,24.591515,27.273516,28.86096,30.448404,33.130405,35.702637,1011.51245,1012.7337,1014.08514,1014.9109,1015.73663,1017.0881,1018.3094
2026-08-01 10:00:00+00:00,2026-08-01 15:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,20.54874,21.121742,21.749077,22.130186,22.511297,23.13863,23.711632,21.239658,23.88224,26.790697,28.562555,30.334414,33.24287,35.885456,1010.62787,1012.09766,1013.7079,1014.68646,1015.665,1017.2752,1018.745
2026-08-01 10:00:00+00:00,2026-08-01 16:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,20.443186,21.039696,21.71085,22.124504,22.538158,23.209312,23.805822,20.378428,23.01838,26.021732,27.883587,29.74544,32.748795,35.38875,1010.0562,1011.7173,1013.5256,1014.6208,1015.716,1017.5243,1019.1854
2026-08-01 10:00:00+00:00,2026-08-01 17:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,20.363485,20.968767,21.662346,22.093939,22.525532,23.21911,23.824392,19.720028,22.271559,25.270773,27.162067,29.053362,32.052574,34.60411,1009.596,1011.48486,1013.5256,1014.7566,1015.9877,1018.0284,1019.91724
2026-08-01 10:00:00+00:00,2026-08-01 18:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,20.152933,20.796564,21.532513,21.98996,22.447407,23.183357,23.826988,19.019049,21.469006,24.41047,26.285822,28.161175,31.102638,33.552597,1009.4374,1011.51666,1013.72565,1015.0463,1016.36694,1018.5759,1020.6553
2026-08-01 10:00:00+00:00,2026-08-01 19:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.935492,20.604456,21.370834,21.847673,22.32451,23.090889,23.759855,18.103277,20.537836,23.465464,25.333525,27.201586,30.129211,32.563774,1009.5829,1011.8155,1014.1648,1015.5622,1016.95953,1019.30884,1021.54144
2026-08-01 10:00:00+00:00,2026-08-01 20:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.676178,20.367939,21.168543,21.669333,22.170124,22.970726,23.662487,17.072449,19.499435,22.39485,24.234781,26.07471,28.970125,31.397114,1009.7076,1012.1015,1014.59265,1016.0655,1017.5384,1020.0295,1022.42346
2026-08-01 10:00:00+00:00,2026-08-01 21:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.399141,20.102869,20.918806,21.429674,21.94054,22.75648,23.460205,16.156055,18.54084,21.349913,23.123226,24.89654,27.705612,30.090399,1009.9198,1012.4318,1015.0433,1016.58655,1018.1298,1020.7413,1023.2533
2026-08-01 10:00:00+00:00,2026-08-01 22:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,19.078396,19.792885,20.62346,21.1442,21.66494,22.495516,23.210005,15.046917,17.45834,20.266922,22.029549,23.792173,26.600756,29.01218,1010.03766,1012.6434,1015.3531,1016.9547,1018.5563,1021.26605,1023.8717
