reference_time,kind,model_id,code_version,lead_lo,lead_hi,n,n_forecast,mae,rmse,bias,crps,mae_persistence,mae_diurnal,pit_mean,pit_le_q0.01,pit_le_q0.05,pit_le_q0.25,pit_le_q0.5,pit_le_q0.75,pit_le_q0.95,pit_le_q0.99,scored_at,schema_version
2026-09-01 09:00:00+00:00,live,1c7a531768d8,2b1bd401ef0f,0,24,24,24,0.2645648749999998,0.4076878873195054,-0.1854091249999999,0.2044085171416666,0.5166666666666665,0.4125000000000001,0.5879753167041284,0.0,0.0,0.0,0.4583333333333333,0.75,0.9583333333333334,1.0,2026-09-10 11:12:59.270453+00:00,v1
2026-09-01 09:00:00+00:00,live,1c7a531768d8,2b1bd401ef0f,24,48,24,24,0.1798091250000001,0.2364538776466248,0.0796594583333335,0.1798862650791667,0.4583333333333332,0.6208333333333331,0.4565097287630517,0.0,0.0,0.125,0.625,1.0,1.0,1.0,2026-09-10 11:12:59.270453+00:00,v1
2026-09-01 09:00:00+00:00,live,1c7a531768d8,2b1bd401ef0f,48,72,24,24,0.5421430416666664,0.5869532932237522,0.5421430416666664,0.3320439048958332,0.1916666666666668,0.5624999999999999,0.2695138684767122,0.0,0.0,0.4166666666666667,1.0,1.0,1.0,1.0,2026-09-10 11:12:59.270453+00:00,v1
2026-09-01 09:00:00+00:00,live,1c7a531768d8,2b1bd401ef0f,72,96,24,24,0.3345979583333334,0.4131400165278412,0.2936205416666665,0.2719922021416666,0.704166666666666,0.2666666666666663,0.3862081554280753,0.0,0.0,0.1666666666666666,0.8333333333333334,1.0,1.0,1.0,2026-09-10 11:12:59.270453+00:00,v1
2026-09-01 15:00:00+00:00,live,1c7a531768d8,73b18747c03d,0,24,24,24,0.3146600723266601,0.3822301771788172,0.0350061098734547,0.2013717598120372,0.7249999999999991,0.3416666666666668,0.4441912646967932,0.0,0.0,0.375,0.6666666666666666,0.7916666666666666,0.9583333333333334,1.0,2026-09-10 11:12:59.282862+00:00,v1
2026-09-01 15:00:00+00:00,live,1c7a531768d8,73b18747c03d,24,48,24,24,0.5656431674957273,0.6170857667136113,0.5656431674957273,0.3456293550093972,0.987499999999999,0.4791666666666665,0.2216702364450922,0.0,0.0,0.7916666666666666,1.0,1.0,1.0,1.0,2026-09-10 11:12:59.282862+00:00,v1
2026-09-01 15:00:00+00:00,live,1c7a531768d8,73b18747c03d,48,72,24,24,0.7421893119812016,0.8019702137703263,0.7421893119812016,0.4594914388497675,0.795833333333333,0.4041666666666666,0.1976374092999045,0.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,2026-09-10 11:12:59.282862+00:00,v1
2026-09-01 15:00:00+00:00,live,1c7a531768d8,73b18747c03d,72,96,24,24,0.5771359284718836,0.631529188505617,0.5725295861562104,0.3621896546045941,0.3791666666666662,0.2791666666666663,0.2789977464876427,0.0,0.0,0.5,0.9583333333333334,1.0,1.0,1.0,2026-09-10 11:12:59.282862+00:00,v1
2026-09-01 22:00:00+00:00,live,1c7a531768d8,351217fb09c9,0,24,24,24,0.254511086146037,0.3032452089408617,-0.0248438676198327,0.1863345278580984,0.3249999999999999,0.2791666666666668,0.5316425659047678,0.0,0.0,0.1666666666666666,0.4166666666666667,0.8333333333333334,0.9166666666666666,1.0,2026-09-10 11:12:59.294277+00:00,v1
2026-09-01 22:00:00+00:00,live,1c7a531768d8,351217fb09c9,24,48,24,24,0.3298537095387774,0.3689046551362311,0.3072972456614174,0.2264424785534541,0.5041666666666674,0.4583333333333332,0.346055114448362,0.0,0.0,0.1666666666666666,0.9583333333333334,1.0,1.0,1.0,2026-09-10 11:12:59.294277+00:00,v1
2026-09-01 22:00:00+00:00,live,1c7a531768d8,351217fb09c9,48,72,24,24,0.273796892166138,0.3135197389352111,0.1755564530690511,0.2356895816644033,0.5583333333333335,0.2708333333333335,0.4196392272649415,0.0,0.0,0.0416666666666666,0.75,1.0,1.0,1.0,2026-09-10 11:12:59.294277+00:00,v1
2026-09-01 22:00:00+00:00,live,1c7a531768d8,351217fb09c9,72,96,24,24,0.4161526679992683,0.4732330671775105,0.41078592936198,0.3021169232606889,0.3958333333333321,0.333333333333333,0.3487378189096891,0.0,0.0,0.1666666666666666,0.9583333333333334,1.0,1.0,1.0,2026-09-10 11:12:59.294277+00:00,v1
2026-09-02 08:00:00+00:00,live,1c7a531768d8,848a9528990f,0,24,24,24,0.2401660442352294,0.2827603002780616,0.2303959051767984,0.1585062793652215,0.604166666666667,0.3458333333333335,0.3153135444690118,0.0,0.0,0.4166666666666667,0.9583333333333334,1.0,1.0,1.0,2026-09-10 11:12:59.307771+00:00,v1
2026-09-02 08:00:00+00:00,live,1c7a531768d8,848a9528990f,24,48,24,24,0.5638604640960696,0.6136059723493599,0.5638604640960696,0.336165152057012,0.5833333333333343,0.4166666666666667,0.2041663871693416,0.0,0.0,0.75,1.0,1.0,1.0,1.0,2026-09-10 11:12:59.307771+00:00,v1
2026-09-02 08:00:00+00:00,live,1c7a531768d8,848a9528990f,48,72,24,24,0.3124492168426518,0.3881642220854258,0.2402220249176025,0.2345961431026459,1.270833333333334,0.3958333333333332,0.387734360077345,0.0,0.0,0.1666666666666666,0.75,1.0,1.0,1.0,2026-09-10 11:12:59.307771+00:00,v1
2026-09-02 08:00:00+00:00,live,1c7a531768d8,848a9528990f,72,96,24,24,0.6931432882944759,0.8044615302700905,0.669387038548789,0.4438354639450714,1.0250000000000004,0.4000000000000001,0.264549993472785,0.0,0.0,0.5,0.9166666666666666,1.0,1.0,1.0,2026-09-10 11:12:59.307771+00:00,v1
2026-09-02 15:00:00+00:00,live,1c7a531768d8,1d1b461e8eb0,0,24,24,24,0.301809088389078,0.3583432559350217,0.289237912495931,0.1889474077939986,0.5958333333333337,0.2708333333333335,0.2954952050342856,0.0,0.0,0.5416666666666666,0.7916666666666666,1.0,1.0,1.0,2026-09-10 11:12:59.320219+00:00,v1
