series,station,grid_start,grid_end,first_value,last_value,hours,measured,missing,min,max,gaps,longest_gap_h,flagged_intervals
eisbach,muenchen-himmelreichbruecke-16515005,2004-03-01 23:00:00+00:00,2026-09-14 19:00:00+00:00,2004-03-02 00:00:00+00:00,2026-09-14 19:00:00+00:00,197565,124384,73181,0.275,65.775,83,55560,62
isar_toelz,bad-toelz-b472-16003207,2007-11-19 23:00:00+00:00,2026-09-14 19:00:00+00:00,2007-11-20 15:00:00+00:00,2026-09-14 13:00:00+00:00,164973,164382,591,2.0,19.15,221,27,6
loisach_beuerberg,beuerberg-16408504,1980-10-31 23:00:00+00:00,2026-09-14 19:00:00+00:00,1980-11-01 07:00:00+00:00,2026-09-14 19:00:00+00:00,402093,171474,230619,0.5,24.7,9973,314,23
airtemp,03379,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,146420,146320,100,-16.0,36.7,7,69,4
t_catchment,01550,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,146420,146239,181,-21.9,35.6,11,69,5
rain_toelz,05262,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,2010-01-01 00:00:00+00:00,2026-09-13 23:00:00+00:00,146420,146041,379,0.0,39.5,11,185,1314
rain_lenggries,06257,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,2010-01-01 00:00:00+00:00,2026-09-13 23:00:00+00:00,146420,144382,2038,0.0,39.7,26,585,1286
rain_kochel,06342,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,2010-01-01 00:00:00+00:00,2026-09-13 23:00:00+00:00,146420,141365,5055,0.0,52.6,57,1674,1310
rain_garmisch,01550,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,146420,146189,231,0.0,42.2,17,68,1318
solar_hohenpeissenberg,02290,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,2010-04-21 01:00:00+00:00,2026-09-14 19:00:00+00:00,146420,143100,3320,0.0,1.058,34,2641,0
pressure,03379,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,2010-01-01 00:00:00+00:00,2026-09-14 19:00:00+00:00,146420,146333,87,976.2,1047.09,9,69,0
